title,authors,conference,year
Swift Unfolding of Communities: GPU-Accelerated Louvain Algorithm.,Zhibin Wang 0002; Xi Lin; Xue Li 0024; Pinhuan Wang; Ziheng Meng; Hang Liu 0001; Chen Tian 0001; Sheng Zhong 0002,PPoPP,2025
Crystality: A Programming Model for Smart Contracts on Parallel EVMs.,Hao Wang 0002; Minghao Pan; Jiaping Wang,PPoPP,2025
Harnessing Inter-GPU Shared Memory for Seamless MoE Communication-Computation Fusion.,Hulin Wang; Yaqi Xia; Donglin Yang; Xiaobo Zhou 0002; Dazhao Cheng,PPoPP,2025
TurboFFT: Co-Designed High-Performance and Fault-Tolerant Fast Fourier Transform on GPUs.,Shixun Wu; Yujia Zhai; Jinyang Liu 0003; Jiajun Huang 0001; Zizhe Jian; Huangliang Dai; Sheng Di; Franck Cappello; Zizhong Chen,PPoPP,2025
PANNS: Enhancing Graph-based Approximate Nearest Neighbor Search through Recency-aware Construction and Parameterized Search.,Xizhe Yin; Chao Gao; Zhijia Zhao 0001; Rajiv Gupta 0001,PPoPP,2025
EVeREST: An Effective and Versatile Runtime Energy Saving Tool for GPUs.,Anna Yue; Pen-Chung Yew; Sanyam Mehta,PPoPP,2025
FastBWA: Practical and Cost-Efficient Genome Sequence Alignment Pipeline.,Zhonghai Zhang; Yewen Li; Ke Meng; Chunming Zhang; Guangming Tan,PPoPP,2025
Jigsaw: Toward Conflict-free Vectorized Stencil Computation by Tessellating Swizzled Registers.,Yiwei Zhang; Kun Li 0016; Liang Yuan; Haozhi Han; Yunquan Zhang; Ting Cao 0003; Mao Yang 0004,PPoPP,2025
Acc-SpMM: Accelerating General-purpose Sparse Matrix-Matrix Multiplication with GPU Tensor Cores.,Haisha Zhao; San Li; Jiaheng Wang; Chunbao Zhou; Jue Wang 0013; Zhikuang Xin; Shunde Li; Zhiqiang Liang; Zhijie Pan; Fang Liu; Yan Zeng; Yangang Wang; Xuebin Chi,PPoPP,2025
FlashTensor: Optimizing Tensor Programs by Leveraging Fine-grained Tensor Property.,Runxin Zhong; Yuyang Jin 0001; Chen Zhang 0001; Kinman Lei; Shuangyu Li; Jidong Zhai,PPoPP,2025
A General and Scalable GCN Training Framework on CPU Supercomputers.,Chen Zhuang; Peng Chen 0035; Xin Liu 0020; Rio Yokota; Nikoli Dryden; Lingqi Zhang 0001; Toshio Endo; Satoshi Matsuoka; Mohamed Wahib,PPoPP,2025
Semi-StructMG: A Fast and Scalable Semi-Structured Algebraic Multigrid.,Yi Zong; Chensong Zhang; Longjiang Mu; Jianchun Wang; Jian Sun; Xiaowen Xu; Xinliang Wang; Peinan Yu; Wei Xue 0003,PPoPP,2025
"Proceedings of the 30th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2025, Las Vegas, NV, USA, March 1-5, 2025",,PPoPP,2025
Fast American Option Pricing using Nonlinear Stencils.,Zafar Ahmad; Reilly Browne; Rezaul Chowdhury; Rathish Das; Yushen Huang; Yimin Zhu 0003,PPoPP,2024
Memory Bounds for Concurrent Bounded Queues.,Vitaly Aksenov; Nikita Koval; Petr Kuznetsov; Anton Paramonov,PPoPP,2024
Recurrence Analysis for Automatic Parallelization of Subscripted Subscripts.,Akshay Bhosale; Rudolf Eigenmann,PPoPP,2024
VERLIB: Concurrent Versioned Pointers.,Guy E. Blelloch; Yuanhao Wei,PPoPP,2024
ConvStencil: Transform Stencil Computation to Matrix Multiplication on Tensor Cores.,Yuetao Chen; Kun Li 0016; Yuhao Wang; Donglin Bai; Lei Wang 0222; Lingxiao Ma; Liang Yuan; Yunquan Zhang; Ting Cao 0003; Mao Yang 0004,PPoPP,2024
FastFold: Optimizing AlphaFold Training and Inference on GPU Clusters.,Shenggan Cheng; Xuanlei Zhao; Guangyang Lu; Jiarui Fang; Tian Zheng; Ruidong Wu; Xiwen Zhang; Jian Peng 0001; Yang You 0001,PPoPP,2024
Shared Memory-contention-aware Concurrent DNN Execution for Diversely Heterogeneous System-on-Chips.,Ismet Dagli; Mehmet E. Belviranli,PPoPP,2024
Parallel Integer Sort: Theory and Practice.,Xiaojun Dong 0001; Laxman Dhulipala; Yan Gu 0001; Yihan Sun 0001,PPoPP,2024
Liger: Interleaving Intra- and Inter-Operator Parallelism for Distributed Large Model Inference.,Jiangsu Du; Jinhui Wei; Jiazhi Jiang; Shenggan Cheng; Dan Huang 0001; Zhiguang Chen 0001; Yutong Lu,PPoPP,2024
POSTER: Optimizing Sparse Tensor Contraction with Revisiting Hash Table Design.,Guofeng Feng; Weile Jia; Ninghui Sun; Guangming Tan; Jiajia Li 0001,PPoPP,2024
POSTER: Enabling Extreme-Scale Phase Field Simulation with In-situ Feature Extraction.,Zhichen Feng; Jialin Li; Yaqian Gao; Shaobo Tian; Huang Ye; Jian Zhang 0070,PPoPP,2024
GraphCube: Interconnection Hierarchy-aware Graph Processing.,Xinbiao Gan; Guang Wu; Shenghao Qiu; Feng Xiong; Jiaqi Si; Jianbin Fang; Dezun Dong; Chunye Gong; Tiejun Li; Zheng Wang 0001,PPoPP,2024
Arrow Matrix Decomposition: A Novel Approach for Communication-Efficient Sparse Matrix Multiplication.,Lukas Gianinazzi; Alexandros Nikolaos Ziogas; Langwen Huang; Piotr Luczynski; Saleh Ashkboosh; Florian Scheidl; Armon Carigiet; Chio Ge; Nabil Abubaker; Maciej Besta; Tal Ben-Nun; Torsten Hoefler,PPoPP,2024
POSTER: Pattern-Aware Sparse Communication for Scalable Recommendation Model Training.,Jiaao He; Shengqi Chen 0001; Jidong Zhai,PPoPP,2024
Training one DeePMD Model in Minutes: a Step towards Online Learning.,Siyu Hu; Tong Zhao; Qiuchen Sha; Enji Li; Xiangyu Meng 0005; Liping Liu; Lin-Wang Wang; Guangming Tan; Weile Jia,PPoPP,2024
POSTER: Optimizing Collective Communications with Error-bounded Lossy Compression for GPU Clusters.,Jiajun Huang 0001; Sheng Di; Xiaodong Yu 0001; Yujia Zhai; Jinyang Liu 0003; Yafan Huang; Ken Raffenetti; Hui Zhou 0012; Kai Zhao 0008; Zizhong Chen; Franck Cappello; Yanfei Guo; Rajeev Thakur,PPoPP,2024
OsirisBFT: Say No to Task Replication for Scalable Byzantine Fault Tolerant Analytics.,Kasra Jamshidi; Keval Vora,PPoPP,2024
Fast Kronecker Matrix-Matrix Multiplication on GPUs.,Abhinav Jangda; Mohit Yadav,PPoPP,2024
POSTER: Accelerating High-Precision Integer Multiplication used in Cryptosystems with GPUs.,Zhuoran Ji; Zhaorui Zhang; Jiming Xu; Lei Ju 0001,PPoPP,2024
Practical Hardware Transactional vEB Trees.,Mohammad Khalaji; Trevor Brown 0001; Khuzaima Daudjee; Vitaly Aksenov,PPoPP,2024
Are Your Epochs Too Epic? Batch Free Can Be Harmful.,Daewoo Kim; Trevor Brown 0001; Ajay Singh 0002,PPoPP,2024
POSTER: ParGNN: Efficient Training for Large-Scale Graph Neural Network on GPU Clusters.,Shunde Li; Junyu Gu; Jue Wang 0013; Tiechui Yao; Zhiqiang Liang; Yumeng Shi; Shigang Li 0002; Weiting Xi; Shushen Li; Chunbao Zhou; Yangang Wang; Xuebin Chi,PPoPP,2024
POSTER: RadiK: Scalable Radix Top-K Selection on GPUs.,Yifei Li; Bole Zhou; Jiejing Zhang; Xuechao Wei; Yinghan Li; Yingda Chen,PPoPP,2024
Exploiting Fine-Grained Redundancy in Set-Centric Graph Pattern Mining.,Zhiheng Lin; Ke Meng; Chaoyang Shui; Kewei Zhang; Junmin Xiao; Guangming Tan,PPoPP,2024
Parallel k-Core Decomposition with Batched Updates and Asynchronous Reads.,Quanquan C. Liu; Julian Shun; Igor Zablotchi,PPoPP,2024
Tetris: Accelerating Sparse Convolution by Exploiting Memory Reuse on GPU.,Xiaoyan Liu; Xuegui Zheng; Hailong Yang 0002; Zhongzhi Luan; Depei Qian,PPoPP,2024
POSTER: FineCo: Fine-grained Heterogeneous Resource Management for Concurrent DNN Inferences.,Lixian Ma; Haoruo Chen; En Shao; Leping Wang; Quan Chen 0002; Guangming Tan,PPoPP,2024
ParlayANN: Scalable and Deterministic Parallel Graph-Based Approximate Nearest Neighbor Search Algorithms.,Magdalen Dobson Manohar; Zheqi Shen; Guy E. Blelloch; Laxman Dhulipala; Yan Gu 0001; Harsha Vardhan Simhadri; Yihan Sun 0001,PPoPP,2024
Gallatin: A General-Purpose GPU Memory Manager.,Hunter McCoy; Prashant Pandey 0001,PPoPP,2024
POSTER: OCToPus: Semantic-aware Concurrency Control for Blockchain Transactions.,dePaul Miller; Henry F. Korth; Roberto Palmieri,PPoPP,2024
Language-Agnostic Static Deadlock Detection for Futures.,Stefan K. Muller,PPoPP,2024
A Row Decomposition-based Approach for Sparse Matrix Multiplication on GPUs.,Meng Pang; Xiang Fei; Peng Qu; Youhui Zhang; Zhaolin Li,PPoPP,2024
Locks as a Resource: Fairly Scheduling Lock Occupation with CFL.,Jonggyu Park; Young Ik Eom,PPoPP,2024
AGAThA: Fast and Efficient GPU Acceleration of Guided Sequence Alignment for Long Read Mapping.,Seongyeon Park; Junguk Hong; Jaeyong Song; Hajin Kim; Youngsok Kim; Jinho Lee 0001,PPoPP,2024
INFINEL: An efficient GPU-based processing method for unpredictable large output graph queries.,Sungwoo Park; Seyeon Oh; Min-Soo Kim 0002,PPoPP,2024
Pure: Evolving Message Passing To Better Leverage Shared Memory Within Nodes.,James Psota; Armando Solar-Lezama,PPoPP,2024
Towards Scalable Unstructured Mesh Computations on Shared Memory Many-Cores.,Haozhong Qiu; Chuanfu Xu; Jianbin Fang; Liang Deng; Jian Zhang 0115; Qingsong Wang; Yue Ding 0001; Zhe Dai; Yonggang Che; Shizhao Chen; Jie Liu 0002,PPoPP,2024
Scaling Up Transactions with Slower Clocks.,Pedro Ramalhete; Andreia Correia,PPoPP,2024
Sparsity in Deep Neural Nets (Keynote).,Nir Shavit,PPoPP,2024
CPMA: An Efficient Batch-Parallel Compressed Set Without Pointers.,Brian Wheatman; Randal C. Burns; Aydin Buluç; Helen Xu 0001,PPoPP,2024
Extreme-scale Direct Numerical Simulation of Incompressible Turbulence on the Heterogeneous Many-core System.,Jiabin Xie; Guangnan Feng; Han Huang; Junxuan Feng; Zhiguang Chen 0001; Yutong Lu,PPoPP,2024
A Holistic Approach to Automatic Mixed-Precision Code Generation and Tuning for Affine Programs.,Jinchen Xu; Guanghui Song; Bei Zhou 0004; Fei Li 0045; Jiangwei Hao; Jie Zhao 0002,PPoPP,2024
POSTER: LLM-PQ: Serving LLM on Heterogeneous Clusters with Phase-Aware Partition and Adaptive Quantization.,Juntao Zhao; Borui Wan; Chuan Wu 0001; Yanghua Peng; Haibin Lin,PPoPP,2024
POSTER: StructMG: A Fast and Scalable Structured Multigrid.,Yi Zong; Xinliang Wang; Haopeng Huang; Chensong Zhang; Xiaowen Xu; Jian Sun; Bowen Yan; Qin Wang; Sicong Li; Zhaohui Ding; Wei Xue 0003,PPoPP,2024
POSTER: RELAX: Durable Data Structures with Swift Recovery.,Almog Zur; Nachshon Cohen; Michal Friedman 0001; Erez Petrank,PPoPP,2024
"Proceedings of the 29th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2024, Edinburgh, United Kingdom, March 2-6, 2024",Michel Steuwer; I-Ting Angelina Lee; Milind Chabbi,PPoPP,2024
ScaleLFS: A Log-Structured File System with Scalable Garbage Collection for Commodity SSDs.,Jinyong Ha 0001; Sangjin Lee 0003; Hyeonsang Eom; Yongseok Son,FAST,2025
LeapGNN: Accelerating Distributed GNN Training Leveraging Feature-Centric Model Migration.,Weijian Chen 0002; Shuibing He; Haoyang Qu; Xuechen Zhang 0001,FAST,2025
IMPRESS: An Importance-Informed Multi-Tier Prefix KV Storage System for Large Language Model Inference.,Weijian Chen 0002; Shuibing He; Haoyang Qu; Ruidong Zhang; Siling Yang; Ping Chen; Yi Zheng; Baoxing Huai; Gang Chen 0001,FAST,2025
On Scalable Integrity Checking for Secure Cloud Disks.,Quinn Burke 0002; Ryan Sheatsley; Rachel King; Owen Hines; Michael Swift; Patrick D. McDaniel,FAST,2025
MedFS: Pursuing Low Update Overhead via Metadata-Enabled Delta Compression for Log-structured File System on Mobile Device.,Chao Wu 0006; Cheng Ji 0002; Li-Pin Chang; Zongwei Zhu; Congming Gao; Weichao Guo; Chao Yu; Yanzhi Wang 0001,FAST,2025
DNA data storage: A generative tool for Motif-based DNA storage.,Samira Brunmayr; Omer S. Sella; Thomas Heinis,FAST,2025
GPHash: An Efficient Hash Index for GPU with Byte-Granularity Persistent Memory.,Menglei Chen; Yu Hua 0001; Zhangyu Chen; Ming Zhang; Gen Dong,FAST,2025
PIMLex: A High-Performance Learned Index with Processing-in-Memory.,Lixiao Cui; Kedi Yang; Yusen Li; Gang Wang 0001; Xiaoguang Liu 0001,FAST,2025
"AegonKV: A High Bandwidth, Low Tail Latency, and Low Storage Cost KV-Separated LSM Store with SmartSSD-based GC Offloading.",Zhuohui Duan; Hao Feng; Haikun Liu; Xiaofei Liao; Hai Jin 0001; Bangyu Li,FAST,2025
Revisiting Network Coding for Warm Blob Storage.,Chuang Gan 0002; Yuchong Hu; Leyan Zhao; Xin Zhao; Pengyu Gong; Dan Feng 0001,FAST,2025
ShiftLock: Mitigate One-sided RDMA Lock Contention via Handover.,Jian Gao; Qing Wang 0031; Jiwu Shu,FAST,2025
Maat: Analyzing and Optimizing Overcharge on Blockchain Storage.,Zheyuan He; Zihao Li 0001; Ao Qiao; Jingwei Li 0001; Feng Luo; Sen Yang; Gelei Deng; Shuwei Song; Xiaosong Zhang 0001; Ting Chen 0002; Xiapu Luo,FAST,2025
HaSiS: A Hardware-assisted Single-index Store for Hybrid Transactional and Analytical Processing.,Kecheng Huang; Zhaoyan Shen; Zili Shao; Feng Chen 0005; Tong Zhang 0002,FAST,2025
AWUPF Rediscovered: Atomic Writes to Unleash Pivotal Fault-Tolerance in SSDs.,Jiyune Jeon; Jongseok Kim; Sam H. Noh; Euiseong Seo,FAST,2025
Silhouette: Leveraging Consistency Mechanisms to Detect Bugs in Persistent Memory-Based File Systems.,Bing Jiao; Ashvin Goel; An-I Andy Wang,FAST,2025
D2FS: Device-Driven Filesystem Garbage Collection.,Juwon Kim; Seungjae Lee; Joontaek Oh; Dongkun Shin; Youjip Won,FAST,2025
OPIMQ: Order Preserving IO stack for Multi-Queue Block Device.,Jieun Kim; Joontaek Oh; Juwon Kim; Seung Won Yoo; Youjip Won,FAST,2025
Archer: Adaptive Memory Compression with Page-Association-Rule Awareness for High-Speed Response of Mobile Devices.,Changlong Li 0006; Zongwei Zhu; Chao Wang 0003; Fangming Liu; Fei Xu; Edwin H.-M. Sha; Xuehai Zhou,FAST,2025
"Fast, Transparent Filesystem Microkernel Recovery with Ananke.",Jing Liu 0074; Yifan Dai; Andrea C. Arpaci-Dusseau; Remzi H. Arpaci-Dusseau,FAST,2025
FlacIO: Flat and Collective I/O for Container Image Service.,Yubo Liu; Hongbo Li 0007; Mingrui Liu; Rui Jing; Jian Guo; Bo Zhang; Hanjun Guo; Yuxin Ren 0001; Ning Jia,FAST,2025
"Don&apos;t Maintain Twice, It&apos;s Alright: Merged Metadata Management in Deduplication File System with GogetaFS.",Yanqi Pan; Wen Xia; Erci Xu; Hao Huang; Xiangyu Zou; Shiyi Li,FAST,2025
Selective On-Device Execution of Data-Dependent Read I/Os.,Chanyoung Park; Minu Chung; Hyungon Moon,FAST,2025
Mooncake: Trading More Storage for Less Computation - A KVCache-centric Architecture for Serving LLM Chatbot.,Ruoyu Qin; Zheming Li; Weiran He; Jialei Cui; Feng Ren; Mingxing Zhang; Yongwei Wu 0001; Weimin Zheng; Xinran Xu,FAST,2025
GeminiFS: A Companion File System for GPUs.,Shi Qiu; Weinan Liu; Yifan Hu; Jianqin Yan; Zhirong Shen; Xin Yao; Renhai Chen; Gong Zhang 0001; Yiming Zhang 0003,FAST,2025
PolyStore: Exploiting Combined Capabilities of Heterogeneous Storage.,Yujie Ren; David Domingo; Jian Zhang; Paul John; Rekha Pitchumani; Sanidhya Kashyap; Sudarsun Kannan,FAST,2025
Cloudscape: A Study of Storage Services in Modern Cloud Architectures.,Sambhav Satija; Chenhao Ye; Ranjitha Kosgi; Aditya Jain; Romit Kankaria; Yiwei Chen; Andrea C. Arpaci-Dusseau; Remzi H. Arpaci-Dusseau; Kiran Srinivasan,FAST,2025
Towards High-throughput and Low-latency Billion-scale Vector Search via CPU/GPU Collaborative Filtering and Re-ranking.,Bing Tian; Haikun Liu; Yuhang Tang; Shihai Xiao; Zhuohui Duan; Xiaofei Liao; Hai Jin 0001; Xuecang Zhang; Junhua Zhu; Yu Zhang 0027,FAST,2025
AtomicDisk: A Secure Virtual Disk for TEEs against Eviction Attacks.,Hongliang Tian; Xinyi Yu; Shaowei Song; Qingsong Chen; Zhihao Zhang; Shiyu Wang; Weijie Liu 0004; Erci Xu; Shoumeng Yan; Yiming Zhang 0003,FAST,2025
VectorCDC: Accelerating Data Deduplication with Vector Instructions.,Sreeharsha Udayashankar; Abdelrahman Baba; Samer Al-Kiswany,FAST,2025
Boosting File Systems Elegantly: A Transparent NVM Write-ahead Log for Disk File Systems.,Guoyu Wang; Xilong Che; Haoyang Wei; Shuo Chen; Puyi He; Juncheng Hu,FAST,2025
Oasis: An Out-of-core Approximate Graph System via All-Distances Sketches.,Tsun-Yu Yang; Yi Li; Yizou Chen; Bingzhe Li; Ming-Chang Yang,FAST,2025
DJFS : Directory-Granularity Filesystem Journaling for CMM-H SSDs.,Seung Won Yoo; Joontaek Oh; Myeongin Cheon; Bonmoo Koo; Wonseb Jeong; Hyunsub Song; Hyeonho Song; Donghun Lee; Youjip Won,FAST,2025
Rethinking the Request-to-IO Transformation Process of File Systems for Full Utilization of High-Bandwidth SSDs.,Yekang Zhan; Haichuan Hu; Xiangrui Yang 0001; Qiang Cao 0001; Hong Jiang 0001; Shaohua Wang; Jie Yao 0001,FAST,2025
Liquid-State Drive: A Case for DNA Block Device for Enormous Data.,Jiahao Zhou; Mingkai Dong 0002; Fei Wang 0130; Jingyao Zeng; Lei Zhao 0011; Chunhai Fan; Haibo Chen 0001,FAST,2025
3L-Cache: Low Overhead and Precise Learning-based Eviction Policy for Caches.,Wenbin Zhou; Zhixiong Niu; Yongqiang Xiong; Juan Fang; Qian Wang,FAST,2025
HiDPU: A DPU-Oriented Hybrid Indexing Scheme for Disaggregated Storage Systems.,Wenbin Zhu; Zhaoyan Shen; Qian Wei; Renhai Chen; Xin Yao; Dongxiao Yu; Zili Shao,FAST,2025
"23rd USENIX Conference on File and Storage Technologies, FAST 2025, Santa Clara, CA, February 25-27, 2025.",Haryadi S. Gunawi; Vasily Tarasov,FAST,2025
COLE: A Column-based Learned Storage for Blockchain Systems.,Ce Zhang 0007; Cheng Xu 0004; Haibo Hu 0001; Jianliang Xu,FAST,2024
RFUSE: Modernizing Userspace Filesystem Framework through Scalable Kernel-Userspace Communication.,Kyu-Jin Cho; Jaewon Choi; Hyungjoon Kwon; Jin-Soo Kim,FAST,2024
I/O in a Flash: Evolution of ONTAP to Low-Latency SSDs.,Matthew Curtis-Maury; Ram Kesavan; Bharadwaj V. R.; Nikhil Mattankot; Vania Fang; Yash Trivedi; Kesari Mishra; Qin Li,FAST,2024
Symbiosis: The Art of Application and Kernel Cache Cooperation.,Yifan Dai; Jing Liu 0074; Andrea C. Arpaci-Dusseau; Remzi H. Arpaci-Dusseau,FAST,2024
The Design and Implementation of a Capacity-Variant Storage System.,Ziyang Jiao; Xiangqun Zhang 0002; Hojin Shin; Jongmoo Choi; Bryan S. Kim,FAST,2024
I/O Passthru: Upstreaming a flexible and efficient I/O Path in Linux.,Kanchan Joshi; Anuj Gupta; Javier González 0006; Ankit Kumar; Krishna Kanth Reddy; Arun George; Simon Andreas Frimann Lund; Jens Axboe,FAST,2024
